"zip","city","county","stateCode","population","state"
34787,"Winter Garden","Orange County","FL",86913,"Florida"
34953,"Port Saint Lucie","St. Lucie County","FL",78558,"Florida"
33311,"Fort Lauderdale","Broward County","FL",75435,"Florida"
33411,"West Palm Beach","Palm Beach County","FL",73919,"Florida"
33024,"Hollywood","Broward County","FL",73405,"Florida"
33025,"Hollywood","Broward County","FL",72684,"Florida"
33647,"Tampa","Hillsborough County","FL",72323,"Florida"
33023,"Hollywood","Broward County","FL",71749,"Florida"
33012,"Hialeah","Miami-Dade County","FL",71088,"Florida"
32828,"Orlando","Orange County","FL",69778,"Florida"
33157,"Miami","Miami-Dade County","FL",69152,"Florida"
32218,"Jacksonville","Duval County","FL",68996,"Florida"
33186,"Miami","Miami-Dade County","FL",68750,"Florida"
33015,"Hialeah","Miami-Dade County","FL",68517,"Florida"
32822,"Orlando","Orange County","FL",68321,"Florida"
33033,"Homestead","Miami-Dade County","FL",68121,"Florida"
32210,"Jacksonville","Duval County","FL",67110,"Florida"
34711,"Clermont","Lake County","FL",66744,"Florida"
32259,"Saint Johns","St. Johns County","FL",66518,"Florida"
33463,"Lake Worth","Palm Beach County","FL",65766,"Florida"
32244,"Jacksonville","Duval County","FL",65499,"Florida"
33178,"Miami","Miami-Dade County","FL",64751,"Florida"
33027,"Hollywood","Broward County","FL",63474,"Florida"
32765,"Oviedo","Seminole County","FL",63210,"Florida"
32825,"Orlando","Orange County","FL",63056,"Florida"
32808,"Orlando","Orange County","FL",62827,"Florida"
32818,"Orlando","Orange County","FL",62566,"Florida"
33313,"Fort Lauderdale","Broward County","FL",62232,"Florida"
34744,"Kissimmee","Osceola County","FL",60995,"Florida"
33065,"Coral Springs","Broward County","FL",60600,"Florida"
33064,"Pompano Beach","Broward County","FL",60009,"Florida"
32771,"Sanford","Seminole County","FL",59134,"Florida"
33142,"Miami","Miami-Dade County","FL",59121,"Florida"
33511,"Brandon","Hillsborough County","FL",58987,"Florida"
33414,"Wellington","Palm Beach County","FL",58842,"Florida"
32246,"Jacksonville","Duval County","FL",58684,"Florida"
32068,"Middleburg","Clay County","FL",57372,"Florida"
33032,"Homestead","Miami-Dade County","FL",57327,"Florida"
32703,"Apopka","Orange County","FL",57046,"Florida"
33458,"Jupiter","Palm Beach County","FL",56799,"Florida"
33177,"Miami","Miami-Dade County","FL",56791,"Florida"
32824,"Orlando","Orange County","FL",56484,"Florida"
33578,"Riverview","Hillsborough County","FL",55724,"Florida"
33018,"Hialeah","Miami-Dade County","FL",55241,"Florida"
33063,"Pompano Beach","Broward County","FL",55143,"Florida"
33467,"Lake Worth","Palm Beach County","FL",55101,"Florida"
33125,"Miami","Miami-Dade County","FL",54873,"Florida"
34741,"Kissimmee","Osceola County","FL",54464,"Florida"
33196,"Miami","Miami-Dade County","FL",54187,"Florida"
32225,"Jacksonville","Duval County","FL",54073,"Florida"
34746,"Kissimmee","Osceola County","FL",53653,"Florida"
33312,"Fort Lauderdale","Broward County","FL",53409,"Florida"
32608,"Gainesville","Alachua County","FL",53301,"Florida"
34221,"Palmetto","Manatee County","FL",52882,"Florida"
33161,"Miami","Miami-Dade County","FL",52824,"Florida"
33068,"Pompano Beach","Broward County","FL",52792,"Florida"
32162,"The Villages","Sumter County","FL",52752,"Florida"
33176,"Miami","Miami-Dade County","FL",52719,"Florida"
32174,"Ormond Beach","Volusia County","FL",52140,"Florida"
32792,"Winter Park","Seminole County","FL",52120,"Florida"
33165,"Miami","Miami-Dade County","FL",52047,"Florida"
33319,"Fort Lauderdale","Broward County","FL",52000,"Florida"
33415,"West Palm Beach","Palm Beach County","FL",51874,"Florida"
32256,"Jacksonville","Duval County","FL",51638,"Florida"
33810,"Lakeland","Polk County","FL",51427,"Florida"
32725,"Deltona","Volusia County","FL",50825,"Florida"
32164,"Palm Coast","Flagler County","FL",50721,"Florida"
33612,"Tampa","Hillsborough County","FL",50697,"Florida"
33321,"Fort Lauderdale","Broward County","FL",50307,"Florida"
33021,"Hollywood","Broward County","FL",50300,"Florida"
33175,"Miami","Miami-Dade County","FL",50233,"Florida"
33324,"Fort Lauderdale","Broward County","FL",49994,"Florida"
32835,"Orlando","Orange County","FL",49890,"Florida"
32303,"Tallahassee","Leon County","FL",49824,"Florida"
32712,"Apopka","Orange County","FL",49738,"Florida"
32839,"Orlando","Orange County","FL",49304,"Florida"
34668,"Port Richey","Pasco County","FL",49271,"Florida"
33617,"Tampa","Hillsborough County","FL",48987,"Florida"
33615,"Tampa","Hillsborough County","FL",48849,"Florida"
32837,"Orlando","Orange County","FL",48762,"Florida"
33461,"Lake Worth","Palm Beach County","FL",48575,"Florida"
32304,"Tallahassee","Leon County","FL",48568,"Florida"
33162,"Miami","Miami-Dade County","FL",48326,"Florida"
33179,"Miami","Miami-Dade County","FL",48196,"Florida"
